,filename,x_ct,y_ct,z_ct,x_modified,y_modified,z_modified,case_number,part
0,regenerated_new/1/H/case-100065_jcl.png,-232.5,-34.502,208.229,121.5,289.502,255.0,case-100065,upper
1,regenerated_new/2/H/case-100065_jcl.png,-57.5,-165.502,208.229,296.5,420.502,255.0,case-100065,upper
2,regenerated_new/3/H/case-100065_jcl.png,-83.5,157.498,208.229,270.5,97.502,255.0,case-100065,upper
3,regenerated_new/4/H/case-100065_jcl.png,-9.5,-125.502,208.229,344.5,380.502,255.0,case-100065,upper
4,regenerated_new/5/H/case-100065_jcl.png,-23.5,80.498,208.229,330.5,174.502,255.0,case-100065,upper
5,regenerated_new/16/H/case-100065_jcl_NONE.png,-67.5,-24.502,208.229,286.5,279.502,255.0,case-100065,upper
6,regenerated_new/17/H/case-100065_jcl_NONE.png,0.5,0.498047,208.229,354.5,254.50195,255.0,case-100065,upper
7,regenerated_new/14/H/case-100065_jcl.png,213.5,8.49805,208.229,567.5,246.50195,255.0,case-100065,upper
8,regenerated_new/15/H/case-100065_jcl_NONE.png,334.5,3.49805,208.229,688.5,251.50195,255.0,case-100065,upper
9,regenerated_new/16/H/case-100065_jcl_NONE.png,343.5,-75.502,208.229,697.5,330.502,255.0,case-100065,upper
10,regenerated_new/17/H/case-100065_jcl_NONE.png,332.5,88.498,208.229,686.5,166.502,255.0,case-100065,upper
11,regenerated_new/1/H/case-100114_jcl.png,-221.0,17.582,243.342,137.5,280.418,298.0,case-100114,upper
12,regenerated_new/2/H/case-100114_jcl.png,-75.0,-125.418,243.342,283.5,423.418,298.0,case-100114,upper
13,regenerated_new/3/H/case-100114_jcl.png,-45.0,198.582,243.342,313.5,99.418,298.0,case-100114,upper
14,regenerated_new/4/H/case-100114_jcl.png,-34.0,-98.418,243.342,324.5,396.418,298.0,case-100114,upper
15,regenerated_new/5/H/case-100114_jcl.png,-26.0,151.582,243.342,332.5,146.418,298.0,case-100114,upper
16,regenerated_new/6/H/case-100114_jcl.png,-68.0,37.582,243.342,290.5,260.418,298.0,case-100114,upper
17,regenerated_new/7/H/case-100114_jcl.png,45.0,9.58203,243.342,403.5,288.41797,298.0,case-100114,upper
18,regenerated_new/8/H/case-100114_jcl.png,173.0,22.582,243.342,531.5,275.418,298.0,case-100114,upper
19,regenerated_new/9/H/case-100114_jcl.png,351.0,21.582,243.342,709.5,276.418,298.0,case-100114,upper
20,regenerated_new/10/H/case-100114_jcl.png,349.0,-56.418,243.342,707.5,354.418,298.0,case-100114,upper
21,regenerated_new/11/H/case-100114_jcl.png,349.0,100.582,243.342,707.5,197.418,298.0,case-100114,upper
22,regenerated_new/1/H/case-100129_jcl.png,-202.0,-0.414062,244.975,75.5,300.41406,300.0,case-100129,upper
23,regenerated_new/2/H/case-100129_jcl.png,-45.0,-137.414,244.975,232.5,437.414,300.0,case-100129,upper
24,regenerated_new/3/H/case-100129_jcl.png,-17.0,149.586,244.975,260.5,150.414,300.0,case-100129,upper
25,regenerated_new/4/H/case-100129_jcl.png,-3.0,-98.4141,244.975,274.5,398.4141,300.0,case-100129,upper
26,regenerated_new/5/H/case-100129_jcl.png,-5.0,117.586,244.975,272.5,182.414,300.0,case-100129,upper
27,regenerated_new/16/H/case-100129_jcl_NONE.png,-25.0,8.58594,244.975,252.5,291.41406,300.0,case-100129,upper
28,regenerated_new/17/H/case-100129_jcl_NONE.png,50.0,33.5859,244.975,327.5,266.4141,300.0,case-100129,upper
29,regenerated_new/14/H/case-100129_jcl.png,183.0,27.5859,244.975,460.5,272.4141,300.0,case-100129,upper
30,regenerated_new/15/H/case-100129_jcl_NONE.png,269.0,42.5859,244.975,546.5,257.4141,300.0,case-100129,upper
31,regenerated_new/16/H/case-100129_jcl_NONE.png,265.0,-48.4141,244.975,542.5,348.4141,300.0,case-100129,upper
32,regenerated_new/17/H/case-100129_jcl_NONE.png,266.0,114.586,244.975,543.5,185.414,300.0,case-100129,upper
33,regenerated_new/1/H/case-100139_jcl.png,-163.0,-34.4141,244.975,135.5,334.4141,300.0,case-100139,upper
34,regenerated_new/2/H/case-100139_jcl.png,-41.0,-172.414,244.975,257.5,472.414,300.0,case-100139,upper
35,regenerated_new/3/H/case-100139_jcl.png,-23.0,127.586,244.975,275.5,172.414,300.0,case-100139,upper
36,regenerated_new/4/H/case-100139_jcl.png,-22.0,-145.414,244.975,276.5,445.414,300.0,case-100139,upper
37,regenerated_new/5/H/case-100139_jcl.png,-41.0,101.586,244.975,257.5,198.414,300.0,case-100139,upper
38,regenerated_new/16/H/case-100139_jcl_NONE.png,-39.0,1.58594,244.975,259.5,298.41406,300.0,case-100139,upper
39,regenerated_new/17/H/case-100139_jcl_NONE.png,36.0,-9.41406,244.975,334.5,309.41406,300.0,case-100139,upper
40,regenerated_new/14/H/case-100139_jcl.png,175.0,15.5859,244.975,473.5,284.4141,300.0,case-100139,upper
41,regenerated_new/15/H/case-100139_jcl_NONE.png,283.0,12.5859,244.975,581.5,287.4141,300.0,case-100139,upper
42,regenerated_new/16/H/case-100139_jcl_NONE.png,295.0,-71.4141,244.975,593.5,371.4141,300.0,case-100139,upper
43,regenerated_new/1/H/case-100155_jcl.png,-143.5,41.6836,285.804,138.5,308.3164,350.0,case-100155,upper
44,regenerated_new/2/H/case-100155_jcl.png,-52.5,-176.316,285.804,229.5,526.316,350.0,case-100155,upper
45,regenerated_new/3/H/case-100155_jcl.png,-5.5,178.684,285.804,276.5,171.316,350.0,case-100155,upper
46,regenerated_new/4/H/case-100155_jcl.png,-20.5,-148.316,285.804,261.5,498.31598,350.0,case-100155,upper
47,regenerated_new/5/H/case-100155_jcl.png,-0.5,148.684,285.804,281.5,201.316,350.0,case-100155,upper
48,regenerated_new/16/H/case-100155_jcl_NONE.png,29.5,-9.31641,285.804,311.5,359.3164,350.0,case-100155,upper
49,regenerated_new/17/H/case-100155_jcl_NONE.png,86.5,-14.3164,285.804,368.5,364.3164,350.0,case-100155,upper
50,regenerated_new/14/H/case-100155_jcl.png,186.5,-23.3164,285.804,468.5,373.3164,350.0,case-100155,upper
51,regenerated_new/15/H/case-100155_jcl_NONE.png,272.5,4.68359,285.804,554.5,345.3164,350.0,case-100155,upper
52,regenerated_new/16/H/case-100155_jcl_NONE.png,278.5,-123.316,285.804,560.5,473.316,350.0,case-100155,upper
53,regenerated_new/17/H/case-100155_jcl_NONE.png,273.5,80.6836,285.804,555.5,269.3164,350.0,case-100155,upper
54,regenerated_new/1/H/case-100229_jcl.png,-145.0,3.97754,199.655,129.5,240.52246,244.5,case-100229,upper
55,regenerated_new/2/H/case-100229_jcl.png,-16.0,-136.022,199.655,258.5,380.522,244.5,case-100229,upper
56,regenerated_new/3/H/case-100229_jcl.png,-14.0,130.978,199.655,260.5,113.522,244.5,case-100229,upper
57,regenerated_new/4/H/case-100229_jcl.png,2.0,-117.022,199.655,276.5,361.522,244.5,case-100229,upper
58,regenerated_new/5/H/case-100229_jcl.png,20.0,105.978,199.655,294.5,138.522,244.5,case-100229,upper
59,regenerated_new/16/H/case-100229_jcl_NONE.png,1.0,-6.02246,199.655,275.5,250.52246,244.5,case-100229,upper
60,regenerated_new/17/H/case-100229_jcl_NONE.png,68.0,-10.0225,199.655,342.5,254.5225,244.5,case-100229,upper
61,regenerated_new/14/H/case-100229_jcl.png,214.0,-2.02246,199.655,488.5,246.52246,244.5,case-100229,upper
62,regenerated_new/15/H/case-100229_jcl_NONE.png,266.0,-9.02246,199.655,540.5,253.52246,244.5,case-100229,upper
63,regenerated_new/16/H/case-100229_jcl_NONE.png,263.0,-66.0225,199.655,537.5,310.5225,244.5,case-100229,upper
64,regenerated_new/17/H/case-100229_jcl_NONE.png,265.0,63.9775,199.655,539.5,180.52249,244.5,case-100229,upper
65,regenerated_new/1/H/case-100245_jcl.png,-162.5,-27.8584,268.248,128.5,356.3584,328.5,case-100245,upper
66,regenerated_new/2/H/case-100245_jcl.png,-27.5,-147.858,268.248,263.5,476.358,328.5,case-100245,upper
67,regenerated_new/3/H/case-100245_jcl.png,-31.5,121.142,268.248,259.5,207.358,328.5,case-100245,upper
68,regenerated_new/4/H/case-100245_jcl.png,3.5,-132.858,268.248,294.5,461.358,328.5,case-100245,upper
69,regenerated_new/5/H/case-100245_jcl.png,-12.5,117.142,268.248,278.5,211.358,328.5,case-100245,upper
70,regenerated_new/6/H/case-100245_jcl.png,-11.5,-8.8584,268.248,279.5,337.3584,328.5,case-100245,upper
71,regenerated_new/7/H/case-100245_jcl.png,76.5,-7.8584,268.248,367.5,336.3584,328.5,case-100245,upper
72,regenerated_new/8/H/case-100245_jcl.png,185.5,-22.8584,268.248,476.5,351.3584,328.5,case-100245,upper
